query,title,year,venue,doi,type
robot vision shadow,On the Design of Robot Vision Systems,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_14,book-chapter
robot vision shadow,Shadow,2014,Computer Vision,10.1007/978-0-387-31439-6_100170,book-chapter
robot vision shadow,Adaptive shadow estimator for removing shadow of moving object,2010,Computer Vision and Image Understanding,10.1016/j.cviu.2010.06.003,journal-article
robot vision shadow,THE SHADOW CHILDREN,1968,Optometry and Vision Science,10.1097/00006324-196811000-00017,journal-article
robot vision shadow,Spatiotemporal Context in Robot Vision: Detection of Static Objects in the RoboCup Four Legged League,2007,Robot Vision,10.5220/0002069901360148,proceedings-article
robot vision shadow,Moving Shadow Detection Based on Space Location Feature,2012,Robot,10.3724/sp.j.1218.2012.00614,journal-article
robot vision shadow,Toddlers' Discrimination of Shadow and Reflectance,2016,Journal of Vision,10.1167/16.12.644,journal-article
robot vision shadow,Illusions of colour and shadow,2010,Journal of Vision,10.1167/7.15.26,journal-article
robot vision shadow,Copyright Page,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.002.0002,book-chapter
robot vision shadow,Fourth Canadian Conference on Computer and Robot Vision - Copyright,2007,Fourth Canadian Conference on Computer and Robot Vision (CRV '07),10.1109/crv.2007.35,proceedings-article
robot vision shadow,Shadow Patching: Guided Image Completion for Shadow Removal,2019,2019 IEEE Winter Conference on Applications of Computer Vision (WACV),10.1109/wacv.2019.00217,proceedings-article
robot vision shadow,Fourth Canadian Conference on Computer and Robot Vision - Title,2007,Fourth Canadian Conference on Computer and Robot Vision (CRV '07),10.1109/crv.2007.38,proceedings-article
robot vision shadow,Network-based Vision Guidance of Robot for Remote Quality Control,2010,Robot Vision,10.5772/9286,book-chapter
robot vision shadow,Vision Guided Robot System for Arc Welding,1983,Robot Vision,10.1007/978-3-662-09771-7_13,book-chapter
robot vision shadow,Linear markers for robot navigation with panoramic vision,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301438,proceedings-article
robot vision shadow,Robot Vision: Motion Detection,2023,Robot Programming Practice,10.1007/978-981-19-9987-1_8,book-chapter
robot vision shadow,Fourth Canadian Conference on Computer and Robot Vision - Cover,2007,Fourth Canadian Conference on Computer and Robot Vision (CRV '07),10.1109/crv.2007.36,proceedings-article
robot vision shadow,Robot Vision: Edge Detection,2023,Robot Programming Practice,10.1007/978-981-19-9987-1_7,book-chapter
robot vision shadow,Robot Vision,2013,Practical Robot Design,10.1201/b14610-8,book-chapter
robot vision shadow,Robot Vision: Color Detection,2023,Robot Programming Practice,10.1007/978-981-19-9987-1_9,book-chapter
robot vision shadow,Proceedings 1st Canadian Conference on Computer and Robot Vision 2004,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301409,proceedings-article
robot vision shadow,Shadow elimination for effective moving object detection by Gaussian shadow modeling,2003,Image and Vision Computing,10.1016/s0262-8856(03)00030-1,journal-article
robot vision shadow,Proceedings 1st Canadian Conference on Computer and Robot Vision 2004,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301407,proceedings-article
robot vision shadow,Industrial Robot Manipulator Guarding Using Artificial Vision,2010,Robot Vision,10.5772/9294,book-chapter
robot vision shadow,Importance of Vision in Human-Robot Communication Understanding Speech Using Robot Vision and Demonstrating Proper Actions to Human Vision,2009,Intelligent Environments,10.1007/978-1-84800-346-0_11,book-chapter
robot vision shadow,◾ Robot Vision,2016,Robot Development Using Microsoft Robotics Developer Studio,10.1201/b10976-12,book-chapter
robot vision shadow,Casting a Shadow on the Ponzo Size illusion,2021,Journal of Vision,10.1167/jov.21.9.2306,journal-article
robot vision shadow,A Cognitive Robot Architecture Based on 3D Simulator of Robot and Environment,2007,Robot Vision,10.5220/0002066700670076,proceedings-article
robot vision shadow,"A study on photometry in computer vision : shadow, stereo and separation",2014,,10.14711/thesis-b915533,dissertation
robot vision shadow,Figure 12: Distributions of switching durations: (A) between a robot request and a vision request; (B) between a vision request and a robot request.,2019,,10.7717/peerjcs.207/fig-12,component
robot vision shadow,The 3rd Canadian Conference on Computer and Robot Vision - Cover,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.72,proceedings-article
robot vision shadow,Fourth Canadian Conference on Computer and Robot Vision - Table of Contents,2007,Fourth Canadian Conference on Computer and Robot Vision (CRV '07),10.1109/crv.2007.37,proceedings-article
robot vision shadow,Stereo Vision Local Map Alignment for Robot Environment Mapping,2008,Lecture Notes in Computer Science,10.1007/978-3-540-78157-8_9,book-chapter
robot vision shadow,Vision-based multi-robot simultaneous localization and mapping,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301439,proceedings-article
robot vision shadow,Behavior Based Robot Localisation Using Stereo Vision,2008,Lecture Notes in Computer Science,10.1007/978-3-540-78157-8_33,book-chapter
robot vision shadow,Robot Vision,2010,,10.5772/222,edited-book
robot vision shadow,The 3rd Canadian Conference on Computer and Robot Vision - Title Page,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.74,proceedings-article
robot vision shadow,Womanist Interventions and Intersections,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.003.0005,book-chapter
robot vision shadow,“The Shadow of the Cloud”: Racial Speculation and Cultural Vision in Solomon Northup’s Twelve Years a Slave,2016,Fugitive Testimony,10.5422/fordham/9780823272891.003.0005,book-chapter
robot vision shadow,Evolving a Vision-Based Line-Following Robot Controller,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.32,proceedings-article
robot vision shadow,Proceedings 1st Canadian Conference on Computer and Robot Vision 2004 Copyright Page,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301410,proceedings-article
robot vision shadow,Fine-Context Shadow Detection using Shadow Removal,2023,2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/wacv56688.2023.00175,proceedings-article
robot vision shadow,Redundancy in Robot‐Vision Scenarios,2004,Robot Vision,10.1002/3527604405.ch10,other
robot vision shadow,Mobile Robot Localization in Outdoor Environments Based on Near-infrared Vision,2010,ROBOT,10.3724/sp.j.1218.2010.00097,journal-article
robot vision shadow,Books by Gary Dorrien,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.002.0102,book-chapter
robot vision shadow,The 3rd Canadian Conference on Computer and Robot Vision - Copyright Page,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.71,proceedings-article
robot vision shadow,Environment Recognition System for Biped Robot Walking Using Vision Based Sensor Fusion,2010,Robot Vision,10.5772/9300,book-chapter
robot vision shadow,Vision-based Navigation Using an Associative Memory,2010,Robot Vision,10.5772/9282,book-chapter
robot vision shadow,The 3rd Canadian Conference on Computer and Robot Vision - Table of Contents,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.73,proceedings-article
robot vision shadow,Navigation and Control of Mobile Robot Using Sensor Fusion,2010,Robot Vision,10.5772/9284,book-chapter
robot vision shadow,Combining omnidirectional vision with polarization vision for robot navigation,2026,,10.70675/f2302c78zbdc3z4d09za90bzbd4f1a0f349e,dissertation
robot vision shadow,Proceedings 1st Canadian Conference on Computer and Robot Vision 2004 Table of Contents,2004,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",10.1109/cccrv.2004.1301411,proceedings-article
robot vision shadow,Computer Vision in Industry,1983,Robot Vision,10.1007/978-3-662-09771-7_2,book-chapter
robot vision shadow,Design and Realization of the Hybrid Vision System for Autonomous Soccer Robot,2010,ROBOT,10.3724/sp.j.1218.2010.00375,journal-article
robot vision shadow,Simulation for robot vision,2022,,10.5204/thesis.eprints.227404,dissertation
robot vision shadow,Design and Fabrication of Soft Zoom Lens Applied in Robot Vision,2010,Robot Vision,10.5772/9290,book-chapter
robot vision shadow,Prophetic Fire and Creative Flourishing,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.003.0006,book-chapter
robot vision shadow,A Vision-Based Control and Interaction Framework for a Legged Underwater Robot,2009,2009 Canadian Conference on Computer and Robot Vision,10.1109/crv.2009.18,proceedings-article
robot vision shadow,Vision-Based Haptic Rendering With Self-Occlusion Resilience Using Shadow Correspondence,2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3436331,journal-article
robot vision shadow,Moving Cast Shadow Detection from a Gaussian Mixture Shadow Model,2005,2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),10.1109/cvpr.2005.233,proceedings-article
robot vision shadow,Redundant Robot‐Vision Program for CAD Modeling,2004,Robot Vision,10.1002/3527604405.ch13,other
robot vision shadow,DEFORMATION AND COMPOSITION OF SHADOW FOR VIRTUAL STUDIO,2006,Computational Imaging and Vision,10.1007/1-4020-4179-9_45,book-chapter
robot vision shadow,Scaling depth from shadow offset,2021,Journal of Vision,10.1167/jov.21.12.15,journal-article
robot vision shadow,Robot Arms with 3D Vision Capabilities,2010,Advances in Robot Manipulators,10.5772/9668,book-chapter
robot vision shadow,Shapes of Liberation and Wholeness,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.003.0001,book-chapter
robot vision shadow,,2022,,10.1117/12.2613458.6295510478001,component
robot vision shadow,Parallel Vision,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_15,book-chapter
robot vision shadow,Robot vision sensors,1987,Robot sensors and transducers,10.1007/978-94-011-6870-0_6,book-chapter
robot vision shadow,Stereo Vision for Obstacle Detection: A Region-Based Approach,2007,Robot Vision,10.5220/0002067900360045,proceedings-article
robot vision shadow,Robot Vision,2020,Robot Adventures in Python and C,10.1007/978-3-030-38897-3_11,book-chapter
robot vision shadow,Robust vision for robot soccer,2023,,10.14264/300159,dissertation
robot vision shadow,Robot vision sensors,1987,Robot sensors and transducers,10.1007/978-94-011-6872-4_6,book-chapter
robot vision shadow,Robot Vision,1983,,10.1007/978-3-662-09771-7,book
robot vision shadow,Estimating illuminant color in a shadow,2019,Journal of Vision,10.1167/19.8.10,journal-article
robot vision shadow,Antiracist Politics in A Neoliberal World,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.003.0002,book-chapter
robot vision shadow,Real-Time Stereo Vision Applications,2010,Robot Vision,10.5772/9288,book-chapter
robot vision shadow,The effects of color categorization on shadow perception,2010,Journal of Vision,10.1167/10.7.446,journal-article
robot vision shadow,Robot Vision,1999,Industrial Robot: An International Journal,10.1108/ir.1999.04926bae.003,journal-article
robot vision shadow,Shadow robotic hand gets better,2007,Industrial Robot: An International Journal,10.1108/ir.2007.04934cad.001,journal-article
robot vision shadow,Intelligent Assembly Robot,1983,Robot Vision,10.1007/978-3-662-09771-7_15,book-chapter
robot vision shadow,Stacked Conditional Generative Adversarial Networks for Jointly Learning Shadow Detection and Shadow Removal,2018,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,10.1109/cvpr.2018.00192,proceedings-article
robot vision shadow,High Performance Realtime Vision for Mobile Robots on the GPU,2007,Robot Vision,10.5220/0002068900270035,proceedings-article
robot vision shadow,Robot-Mediated Assistance: Opportunities and Challenges in Computer Vision and Human-Robot Interaction,2024,Computer Vision,10.1201/9781003328957-8,book-chapter
robot vision shadow,Integrated robot vision palletises building slabs,2005,Industrial Robot: An International Journal,10.1108/ir.2005.04932baf.002,journal-article
robot vision shadow,Algorithm Evaluation of Robot‐Vision Systems for Autonomous Robots,2004,Robot Vision,10.1002/3527604405.ch11,other
robot vision shadow,Spectral Power Distributions and Reflectance Calculations for Robot Vision,2022,Research on Intelligent Manufacturing,10.1007/978-981-16-6429-8_2,book-chapter
robot vision shadow,"The Pransky interview: Rich Walker, Managing Director at the Shadow Robot Company",2014,Industrial Robot: An International Journal,10.1108/ir-03-2014-0317,journal-article
robot vision shadow,Robot vision,2002,Industrial Robot: An International Journal,10.1108/ir.2002.04929fad.010,journal-article
robot vision shadow,Frames of Identity and World House Struggle,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.003.0007,book-chapter
robot vision shadow,Shadow and Sculpture — Creative Application of Light and Shadow Geometry,2023,SmartArt,10.18485/smartart.2022.2.2.ch16,book-chapter
robot vision shadow,Fight our shadow robot,2013,ACM SIGGRAPH 2013 Studio Talks,10.1145/2503673.2503688,proceedings-article
robot vision shadow,Moving Cast Shadow Detection,2007,Vision Systems: Segmentation and Pattern Recognition,10.5772/4953,book-chapter
robot vision shadow,Multi-robot relative localisation using computer vision,2020,,10.32657/10356/83293,dissertation
robot vision shadow,The Black Social Gospel as Rainbow Politics,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.003.0003,book-chapter
robot vision shadow,Multi-Robot SLAM: A Vision-Based Approach,2011,"Multi-Robot Systems, Trends and Development",10.5772/13389,book-chapter
robot vision shadow,OMS — Vision System,1983,Robot Vision,10.1007/978-3-662-09771-7_24,book-chapter
robot vision shadow,A Vision-based Path Planner/Follower for an Assistive Robotics Project,2007,Robot Vision,10.5220/0002068700770086,proceedings-article
robot vision shadow,Theologies of Blackness with A Liberationist Bent,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.003.0004,book-chapter
robot vision shadow,Online Learning for Robot Vision,2014,,10.3384/lic.diva-110892,monograph
robot vision shadow,Vision System of Facial Robot SHFR- III for Human-robot Interaction,2016,"Proceedings of the 13th International Conference on Informatics in Control, Automation and Robotics",10.5220/0005994804720478,proceedings-article
robot vision shadow,"In the Light and Shadow of Morandi, 2017–18",2024,Uta Barth,10.2307/jj.13568117.20,book-chapter
robot vision shadow,ISRA robot vision,2011,Industrial Robot: An International Journal,10.1108/ir.2011.04938daa.009,journal-article
robot vision shadow,Robot Vision,2023,Mobile Robot Programming,10.1007/978-3-031-32797-1_11,book-chapter
robot vision shadow,Vision System Separates Gathering from Processing,1983,Robot Vision,10.1007/978-3-662-09771-7_27,book-chapter
robot vision shadow,Robot Vision in the Language of Geometric Algebra,2007,Vision Systems: Applications,10.5772/5002,book-chapter
robot vision shadow,Shadow delivers first hand,2005,Industrial Robot: An International Journal,10.1108/01439910510573237,journal-article
robot vision shadow,Building Local Safety Maps for a Wheelchair Robot using Vision and Lasers,2006,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),10.1109/crv.2006.20,proceedings-article
robot vision shadow,Appendix E: Robot Vision: Calibration,2012,Machine Vision Handbook,10.1007/978-1-84996-169-1_46,book-chapter
robot vision shadow,A Darkly Radiant Vision,2023,,10.2307/jj.4449568,monograph
robot vision shadow,Robot Vision Image Processing and Path Planning,2018,International Journal of Recent Trends in Engineering and Research,10.23883/ijrter.2018.4401.v8isv,journal-article
robot vision shadow,Adaptable Distributed Vision System for Robot Manipulation Tasks,2025,"Proceedings of the 20th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",10.5220/0013115600003912,proceedings-article
robot vision shadow,Visual Motion Analysis for 3D Robot Navigation in Dynamic Environments,2010,Robot Vision,10.5772/9283,book-chapter
robot vision shadow,Recent Trends in Computational and Robot Vision,2008,Lecture Notes in Electrical Engineering,10.1007/978-0-387-75523-6_1,book-chapter
robot vision shadow,Performing Human Shadow Detection for Camera-Based Privacy-Preserving Human-Robot Interactions,2024,2024 33rd IEEE International Conference on Robot and Human Interactive Communication (ROMAN),10.1109/ro-man60168.2024.10731324,proceedings-article
robot vision shadow,The Shadow on the Stone,1984,"The Complete Poetical Works of Thomas Hardy, Vol. 2: Satires of Circumstance; Moments of Vision; Late Lyrics and Earlier",10.1093/oseo/instance.00226122,book-chapter
robot vision shadow,Robot Vision,2011,Industrial Robot: An International Journal,10.1108/ir.2011.04938faa.007,journal-article
robot vision shadow,Issues in Robot Vision,1993,Procedings of the British Machine Vision Conference 1993,10.5244/c.7.1,proceedings-article
robot vision shadow,Stain or shadow? Perception of a dark spot on textured backgrounds,2012,Journal of Vision,10.1167/12.9.1206,journal-article
robot vision shadow,Enhancing Human-Robot Interaction with Computer Vision,2026,,10.70675/9c6ed094z8c91z435fz8111ze1ed33a7fe92,dissertation
robot vision shadow,"Rethinking image formats for computer vision: JPEG sRGB, linear, and log RGB;
               object detection and shadow removal",2025,,10.17760/d20679790,dissertation
robot vision shadow,Intégration robot-vision,1992,Automatique et ingénierie système,10.51257/a-v1-r7780,journal-article
robot vision shadow,The Basic Shadow Problem,1985,Shadows and Silhouettes in Computer Vision,10.1007/978-1-4757-1845-4_3,book-chapter
robot vision shadow,NOTES,2023,A Darkly Radiant Vision,10.2307/jj.4449568.12,book-chapter
robot vision shadow,Illustrations,2023,A Darkly Radiant Vision,10.2307/jj.4449568.4,book-chapter
robot vision shadow,Global Signatures for Robot Control and Reconstruction,2009,Robust Vision for Vision-Based Control of Motion,10.1109/9780470546369.ch10,book-chapter
robot vision shadow,Online Learning of Vision-Based Robot Control during Autonomous Operation,2015,Cognitive Systems Monographs,10.1007/978-3-662-43859-6_8,book-chapter
robot vision shadow,2008 Canadian Conference on Computer and Robot Vision,2008,,10.1109/crv14088.2008,proceedings
robot vision shadow,Multi-Task Active-Vision in Robotics,2010,Robot Vision,10.5772/9308,book-chapter
robot vision shadow,Vision-Based Motion for a Humanoid Robot,2000,,10.15760/etd.3173,report
robot vision shadow,2011 Canadian Conference on Computer and Robot Vision,2011,,10.1109/crv18844.2011,proceedings
robot vision shadow,Infants' detection of self-shadow change and object's shape change,2018,Journal of Vision,10.1167/18.10.785,journal-article
robot vision shadow,2014 Canadian Conference on Computer and Robot Vision,2014,,10.1109/crv34026.2014,proceedings
robot vision shadow,Advances in Research of Stereo Vision Odometry,2011,ROBOT,10.3724/sp.j.1218.2011.00119,journal-article
robot vision shadow,Creating a Vision of the Future,1999,The Leader's Shadow: Exploring and Developing Executive Character,10.4135/9781452231433.n6,book-chapter
robot vision shadow,Laminar organization of shadow-discounted lightness signals in area V4,2025,Journal of Vision,10.1167/jov.25.9.2173,journal-article
robot vision shadow,2012 Ninth Conference on Computer and Robot Vision,2012,,10.1109/crv20682.2012,proceedings
robot vision shadow,Hybrid vision-force control of robot without calibrations,2019,,10.32657/10356/39086,dissertation
robot vision shadow,INDEX,2023,A Darkly Radiant Vision,10.2307/jj.4449568.13,book-chapter
robot vision shadow,2013 IEEE Workshop on Robot Vision (WORV),2013,,10.1109/worv21174.2013,proceedings
robot vision shadow,Evaluating Vision System Performance,1983,Robot Vision,10.1007/978-3-662-09771-7_6,book-chapter
robot vision shadow,Robot Programming and Robot Vision,1986,Image Analysis and Processing,10.1007/978-1-4613-2239-9_2,book-chapter
robot vision shadow,Shadow puppetry,1999,Proceedings of the Seventh IEEE International Conference on Computer Vision,10.1109/iccv.1999.790422,proceedings-article
robot vision shadow,Preface,2023,A Darkly Radiant Vision,10.2307/jj.4449568.3,book-chapter
robot vision shadow,2015 12th Conference on Computer and Robot Vision,2015,,10.1109/crv36308.2015,proceedings
robot vision shadow,Joyce’s Shadow Vision,2014,Dublin James Joyce Journal,10.1353/djj.2014.0016,journal-article
robot vision shadow,Robot sensors: volume 1 — vision,1986,Image and Vision Computing,10.1016/0262-8856(86)90053-3,journal-article
robot vision shadow,Motion based Segmentation for Robot Vision using Adapted EM Algorithm,2016,"Proceedings of the 11th Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",10.5220/0005721606490656,proceedings-article
robot vision shadow,Shadow Removal Refinement via Material-Consistent Shadow Edges,2025,2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/wacv61041.2025.00261,proceedings-article
robot vision shadow,Reflections on Active (Machine) Vision,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_2,book-chapter
robot vision shadow,Richard Rodgers Discusses the Facebook Shadow and Shares Methodological Challenges Analyzing Meme Collections  Using the Computer Vision Network Approach,2023,Analysing Meme Collections with the Computer Vision Network Approach,10.4135/9781529627756.n5,book-chapter
robot vision shadow,Robotic VISION technologies,2011,Industrial Robot: An International Journal,10.1108/ir.2011.04938daa.011,journal-article
robot vision shadow,Shadow identification,2003,Proceedings 1992 IEEE Computer Society Conference on Computer Vision and Pattern Recognition,10.1109/cvpr.1992.223128,proceedings-article
robot vision shadow,Adaptive Lighting for Machine Vision Applications,2011,2011 Canadian Conference on Computer and Robot Vision,10.1109/crv.2011.25,proceedings-article
robot vision shadow,2013 International Conference on Computer and Robot Vision,2013,,10.1109/crv31700.2013,proceedings
robot vision shadow,Calibration of Non-SVP Hyperbolic Catadioptric Robotic Vision Systems,2010,Robot Vision,10.5772/9303,book-chapter
robot vision shadow,Localization of a mobile robot by monocular vision,2012,,10.5353/th_b3122637,dissertation
robot vision shadow,A Darkly Radiant Vision,2023,,10.12987/9780300271355,edited-book
robot vision shadow,2016 13th Conference on Computer and Robot Vision (CRV),2016,,10.1109/crv38953.2016,proceedings
robot vision shadow,2019 16th Conference on Computer and Robot Vision (CRV),2019,,10.1109/crv47354.2019,proceedings
robot vision shadow,The Alien Fermenting Ingredient and the Mountainous Shadow,2017,Myth of the Nation and Vision of Revolution,10.4324/9781315124995-23,book-chapter
robot vision shadow,A Study on Shadow Painting Automatic Generation Algorithm in Shadow Generating Robot DeSCaRo,2019,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2019.1p1-p03,journal-article
robot vision shadow,2018 15th Conference on Computer and Robot Vision (CRV),2018,,10.1109/crv44666.2018,proceedings
robot vision shadow,Shadow Geometry and Other Techniques,1985,Shadows and Silhouettes in Computer Vision,10.1007/978-1-4757-1845-4_11,book-chapter
robot vision shadow,2020 17th Conference on Computer and Robot Vision (CRV),2020,,10.1109/crv50864.2020,proceedings
robot vision shadow,2009 Canadian Conference on Computer and Robot Vision,2009,,10.1109/crv15589.2009,proceedings
robot vision shadow,Measurement of the face's topography by digitally enhanced shadow Moire,1990,Close-Range Photogrammetry Meets Machine Vision,10.1117/12.2294376,proceedings-article
robot self shadow,DARKEST SHADOW OF THE SELF,2017,The World Falls Away,10.2307/j.ctt5vkg0f.56,book-chapter
robot self shadow,"The Secret Self: The Shadow Self, the Split Self (and the Steroid Self)",2009,Superheroes and Superegos,10.5040/9798216021353.ch-007,other
robot self shadow,Self-Portrait with No Shadow,2019,The River Twice,10.2307/j.ctvdmx0nj.23,book-chapter
robot self shadow,2. The Self-Proclaimed Writer,2018,Hesse,10.4159/9780674916388-003,book-chapter
robot self shadow,SELF-TUNING SELF-ORGANIZING FUZZY ROBOT CONTROL,1992,Robot Control 1991,10.1016/b978-0-08-041276-4.50034-0,book-chapter
robot self shadow,Self-Position Estimation Using Shadow of Terrain   for Precise Planetary Landing,2020,,10.26226/morressier.59c106e8d462b80292389b38,posted-content
robot self shadow,Flexible Two-wheeled Self-balancing Robot Control Based on Hopfield Neural Network,2010,ROBOT,10.3724/sp.j.1218.2010.00405,journal-article
robot self shadow,Amazon Self-preferencing in the Shadow of the Digital Markets Act,2024,,10.3386/w32299,report
robot self shadow,Phenomenology of the self: The ego; The shadow; The syzygy: anima and animus; The self,2012,The Jung Reader,10.4324/9780203721049-16,book-chapter
robot self shadow,Shadow Politics,1996,Self &amp; Society,10.1080/03060497.1996.11085612,journal-article
robot self shadow,Self-adaptive Markov localization for single-robot and multi-robot systems,2026,,10.70675/181c3fc5z59b5z41dazb48bz2ad7583846ec,dissertation
robot self shadow,Shadow in Women,1996,Self &amp; Society,10.1080/03060497.1996.11085609,journal-article
robot self shadow,"Snow, Shadow, Self: Emil Aarestrup and Poetic Recollection",2011,Scandinavica,10.54432/scand/bbwg9249,journal-article
robot self shadow,WITHIN LIVING MEMORY:,2019,Anne Bean,10.2307/j.ctv36xw43v.9,book-chapter
robot self shadow,The participation of the self-employed in the shadow economy in the European Union,2016,Entrepreneurship and the Shadow Economy,10.4337/9781784719883.00011,book-chapter
robot self shadow,The shadow side of the use of self in counselling,2016,The Therapeutic Use of Self,10.4324/9780203772263-9,book-chapter
robot self shadow,Coda: The Shadow University of Self-Help,2020,The Self-Help Compulsion,10.7312/blum19492-009,book-chapter
robot self shadow,The shadow side of the use of self in counselling,2002,The Therapeutic Use of Self,10.4324/9780203448670-12,book-chapter
